date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,State of Emergency Declaration,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,Public Health Emergency,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State of Emergency Declaration,,,,,State of Emergency Declaration,,,,State of Emergency Declaration,,,,,,,,,,,
2020-03-10,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,State of Emergency Declaration,State of Emergency Declaration,,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,
2020-03-11,,Public Health Disaster Emergency Declaration,State of Emergency Declaration,Emergency Declaration,,,,,State of Emergency Declaration,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,Emergency Declaration,,,,,,,,,,State of Emergency Declaration,,,,,,,,,,,,State of Emergency Declaration,,,,State of Emergency Declaration,,,,State of Emergency Declaration,,,,
